rfc,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
49,0,True,True,0.9575990347392548,True,1.0,True,0.9135120415239356,Voting,Voting,True,0.9575990347392548
1,1,True,True,0.6381853962080452,True,1.0,True,0.9987329789404872,Voting,Voting,True,0.6381853962080452
12,7,True,True,0.9999999987075272,True,1.0,True,0.9155332503195228,Voting,Voting,True,0.9999999987075272
16,3,True,True,0.999811750976643,True,1.0,True,0.8864626461510359,Voting,Voting,True,0.999811750976643
6,3,True,True,0.9994228529383428,True,1.0,True,0.8595609300028402,Voting,Voting,True,0.9994228529383428
46,3,True,True,0.9999934869187456,True,1.0,True,0.9241054672262364,Voting,Voting,True,0.9999934869187456
46,5,True,True,0.9999999863665916,True,1.0,True,0.9241054672262364,Voting,Voting,True,0.9999999863665916
76,31,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
125,10,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
61,26,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
7,3,True,True,0.9994839875641496,True,1.0,True,0.9003502184138671,Voting,Voting,True,0.9994839875641496
5,3,True,True,0.9993544894294392,True,1.0,True,0.8689868065946231,Voting,Voting,True,0.9993544894294392
60,5,True,True,0.9999999971639164,True,1.0,True,0.9241054672262364,Voting,Voting,True,0.9999999971639164
26,14,True,True,1.0,True,1.0,True,0.9172926773298716,Voting,Voting,True,1.0
29,11,True,True,0.9999999999999992,True,1.0,True,0.9241054672262364,Voting,Voting,True,0.9999999999999992
28,7,True,True,0.9999999997851556,True,1.0,True,0.9241054672262364,Voting,Voting,True,0.9999999997851556
2,1,True,True,0.6185306046259461,True,0.9679306785168856,True,0.5216249042782038,Voting,Voting,True,0.6185306046259461
7,3,True,True,0.9994839875641496,True,1.0,True,0.9003502184138671,Voting,Voting,True,0.9994839875641496
22,3,True,True,0.9999039237029548,True,1.0,True,0.8983422254998216,Voting,Voting,True,0.9999039237029548
48,7,True,True,0.9999999999771964,True,1.0,True,0.9241054672262364,Voting,Voting,True,0.9999999999771964
15,3,True,True,0.9997894235852391,True,1.0,True,0.9276354234949148,Voting,Voting,True,0.9997894235852391
3,2,True,True,0.9832005836506588,True,1.0,True,0.8946297055502613,Voting,Voting,True,0.9832005836506588
79,7,True,True,0.9999999999992952,True,1.0,True,0.9241054672262364,Voting,Voting,True,0.9999999999992952
24,2,True,True,0.9983298976601541,True,1.0,True,0.8952274304766845,Voting,Voting,True,0.9983298976601541
59,9,True,True,0.999999999999986,True,1.0,True,0.9241054672262364,Voting,Voting,True,0.999999999999986
72,19,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
79,13,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
22,5,True,True,0.9999997988358101,True,1.0,True,0.8983422254998216,Voting,Voting,True,0.9999997988358101
4,2,True,True,0.9849021055317464,True,1.0,True,0.8758734416899898,Voting,Voting,True,0.9849021055317464
5,0,False,False,0.016186039550301082,False,0.0,False,0.040888629457844085,Voting,Voting,False,0.016186039550301082
428,130,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
19,13,True,True,1.0,True,1.0,True,0.8992742268933365,Voting,Voting,True,1.0
49,0,True,True,0.9575990347392548,True,1.0,True,0.9135120415239356,Voting,Voting,True,0.9575990347392548
47,22,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
21,7,True,True,0.9999999995289504,True,1.0,True,0.9010436767832742,Voting,Voting,True,0.9999999995289504
20,9,True,True,0.9999999999988968,True,1.0,True,0.9238580643528804,Voting,Voting,True,0.9999999999988968
66,5,True,True,0.9999999985529536,True,1.0,True,0.9241054672262364,Voting,Voting,True,0.9999999985529536
44,17,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
4,2,True,True,0.9849021055317464,True,1.0,True,0.8758734416899898,Voting,Voting,True,0.9849021055317464
7,2,True,True,0.9890741639844004,True,1.0,True,0.8618176410011481,Voting,Voting,True,0.9890741639844004
21,1,True,True,0.954652531477819,False,0.3,True,0.6560998433866008,Voting,Voting,True,0.954652531477819
38,5,True,True,0.9999999665610028,True,1.0,True,0.9241054672262364,Voting,Voting,True,0.9999999665610028
51,27,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
31,0,True,True,0.8256006971059059,True,0.9333333333333332,True,0.6725737020271572,Voting,Voting,True,0.8256006971059059
83,23,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
6,4,True,True,0.99997355099267,True,1.0,True,0.8599552584126813,Voting,Voting,True,0.99997355099267
36,14,True,True,1.0,True,1.0,True,0.9241054672262364,Voting,Voting,True,1.0
2,1,True,True,0.6185306046259461,True,0.9679306785168856,True,0.5216249042782038,Voting,Voting,True,0.6185306046259461
21,11,True,True,0.9999999999999979,True,1.0,True,0.9010436767832742,Voting,Voting,True,0.9999999999999979
