cbm,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
0,5,False,False,0.2586953797731309,False,0.2379761904761905,False,0.4896213820631934,Voting,Voting,False,0.2586953797731309
11,3,True,True,0.9778187584857252,True,0.6,True,0.8037861628497259,Voting,Voting,True,0.9778187584857252
0,0,False,False,0.15802187025534822,False,0.0,False,5.9509239093429376e-08,Voting,Voting,False,0.15802187025534822
0,3,False,False,0.3535390554665696,True,0.5083753861696959,True,0.5000574049161206,Voting,Voting,False,0.3535390554665696
0,4,False,False,0.3740280811207534,False,0.4058386384490701,True,0.5006623709938477,Voting,Voting,False,0.3740280811207534
4,4,False,False,0.4105416905281134,False,0.13066100566100566,False,0.4821801426895073,Voting,Voting,False,0.4105416905281134
0,2,False,False,0.18648916700378132,False,0.1692844368107526,False,0.492855604885023,Voting,Voting,False,0.18648916700378132
0,2,False,False,0.18648916700378132,False,0.1692844368107526,False,0.492855604885023,Voting,Voting,False,0.18648916700378132
0,4,False,False,0.3740280811207534,False,0.4058386384490701,True,0.5006623709938477,Voting,Voting,False,0.3740280811207534
10,3,True,True,0.6368850138974381,False,0.1,False,0.2863911285417752,Voting,Voting,True,0.6368850138974381
9,2,True,True,0.9469719884043948,True,0.9792587754243021,True,0.5226928014979387,Voting,Voting,True,0.9469719884043948
9,3,True,True,0.6266141018751954,False,0.2944117647058824,False,0.4683288691301801,Voting,Voting,True,0.6266141018751954
4,2,False,True,0.5555904499254835,True,0.6696577545261756,True,0.5037846864585276,Voting,Voting,True,0.5555904499254835
4,7,True,False,0.4523377483496165,False,0.4238095238095238,False,0.4298518071020679,Voting,Voting,False,0.4523377483496165
4,2,False,True,0.5555904499254835,True,0.6696577545261756,True,0.5037846864585276,Voting,Voting,True,0.5555904499254835
4,2,False,True,0.5555904499254835,True,0.6696577545261756,True,0.5037846864585276,Voting,Voting,True,0.5555904499254835
2,5,False,False,0.2623525772404513,False,0.0,False,0.11175129530372692,Voting,Voting,False,0.2623525772404513
0,2,False,False,0.18648916700378132,False,0.1692844368107526,False,0.492855604885023,Voting,Voting,False,0.18648916700378132
10,3,False,True,0.9830059609356222,True,1.0,True,0.8163689763343044,Voting,Voting,True,0.9830059609356222
0,2,False,False,0.16314456887930576,False,0.17110248531119798,False,0.4846001362572821,Voting,Voting,False,0.16314456887930576
0,1,False,False,0.10878314061949718,False,0.0,False,2.642631914123847e-07,Voting,Voting,False,0.10878314061949718
5,2,False,False,0.4855744176103435,False,0.1977854910079974,False,0.35736992554111685,Voting,Voting,False,0.4855744176103435
0,5,False,False,0.1427490475894153,False,0.0,False,0.046466429960173916,Voting,Voting,False,0.1427490475894153
0,2,False,False,0.16314456887930576,False,0.17110248531119798,False,0.4846001362572821,Voting,Voting,False,0.16314456887930576
4,4,False,False,0.43185494186375023,False,0.2241341991341991,False,0.4914881073248923,Voting,Voting,False,0.43185494186375023
4,4,False,False,0.43185494186375023,False,0.2241341991341991,False,0.4914881073248923,Voting,Voting,False,0.43185494186375023
0,6,False,False,0.16061147601820722,False,0.0,False,0.05208807873211082,Voting,Voting,False,0.16061147601820722
0,3,False,False,0.2786625118194706,False,0.3242888973771327,False,0.4997166044290693,Voting,Voting,False,0.2786625118194706
5,5,False,True,0.6881012135147614,False,0.4666666666666666,False,0.0698604164672226,Voting,Voting,True,0.6881012135147614
0,5,True,False,0.1427490475894153,False,0.0,False,0.046466429960173916,Voting,Voting,False,0.1427490475894153
0,6,False,False,0.16061147601820722,False,0.0,False,0.05208807873211082,Voting,Voting,False,0.16061147601820722
