cbo,rfc,lcom,loc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
2,11,1,68,False,False,0.07487398266519106,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.07487398266519106
8,28,2,274,True,True,0.8980400279869897,False,0.5,False,0.4000000000000001,Voting,Voting,True,0.8980400279869897
27,118,390,992,True,True,1.0,True,0.9,True,0.7,Voting,Voting,True,1.0
0,3,1,21,False,False,0.09676254903034304,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.09676254903034304
9,57,28,245,True,True,0.9999292665832176,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9999292665832176
5,55,26,387,True,True,0.9999795656340216,True,0.9,True,0.8999999999999999,Voting,Voting,True,0.9999795656340216
6,51,13,265,True,True,0.6788043631522123,False,0.5,True,0.6000000000000001,Voting,Voting,True,0.6788043631522123
7,70,40,412,True,True,0.6666666639784765,True,0.7,True,0.8,Voting,Voting,True,0.6666666639784765
7,35,21,148,True,True,0.9998654403153314,True,0.9,True,0.7,Voting,Voting,True,0.9998654403153314
3,23,6,88,False,False,0.11201880199355196,False,0.4,False,2.2204460492503185e-16,Voting,Voting,False,0.11201880199355196
1,4,3,14,False,False,0.2538316407659224,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.2538316407659224
7,46,18,227,True,True,0.9965070384287325,True,1.0,True,0.8999999999999999,Voting,Voting,True,0.9965070384287325
8,41,0,355,True,True,0.7498320613964241,True,0.6,True,0.8999999999999999,Voting,Voting,True,0.7498320613964241
2,15,0,103,False,False,0.045230693514424436,False,0.0,False,4.967053706610929e-09,Voting,Voting,False,0.045230693514424436
4,40,21,251,True,True,0.9994419951710988,True,0.6,True,0.8999999999999999,Voting,Voting,True,0.9994419951710988
18,57,0,639,True,True,0.9999987001188688,True,0.7,True,0.8,Voting,Voting,True,0.9999987001188688
4,52,18,764,True,True,0.6666666666631885,True,0.6,True,0.7,Voting,Voting,True,0.6666666666631885
6,65,8,432,False,True,0.9533105600567188,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9533105600567188
