wmc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,True,False,0.3754140284289336,False,0.45,True,0.5012269419044968,AdaBoost,AdaBoost,True,0.4756134709522484
2,True,False,0.39598944214294735,False,0.5,False,0.4991104994968957,RandomForest,RandomForest,False,0.5
7,False,False,0.3392576280857988,False,0.4140476190476191,False,0.4951035740559536,RandomForest,RandomForest,False,0.4140476190476191
8,True,False,0.3098519127946445,False,0.29624098124098114,False,0.4953787836957778,RandomForest,RandomForest,False,0.29624098124098114
2,True,False,0.39598944214294746,False,0.42,False,0.4996577818717322,RandomForest,RandomForest,False,0.42
86,True,True,0.9962213458968628,True,1.0,True,0.8849672394834517,RandomForest,RandomForest,True,1.0
1,False,True,0.5176112996014295,True,0.6216666666666667,True,0.5102799623309704,RandomForest,RandomForest,True,0.6216666666666667
10,True,False,0.22839999429257296,False,0.2,False,0.17786437021881624,RandomForest,RandomForest,False,0.2
4,True,False,0.2122847153166305,False,0.2,False,0.04542680032410176,RandomForest,RandomForest,False,0.20425240145575674
7,False,False,0.3392576280857988,False,0.276569264069264,False,0.4951288914163271,RandomForest,RandomForest,False,0.276569264069264
7,True,False,0.2662323288414641,False,0.08,False,0.4884293382485716,RandomForest,RandomForest,False,0.08
4,False,False,0.4033309348343808,True,0.5549999999999999,True,0.5008219751203685,Voting,RandomForest,True,0.5059305965640644
6,True,False,0.3754140284289336,False,0.31666666666666665,True,0.5008481921715785,AdaBoost,AdaBoost,True,0.4361357642914744
14,False,False,0.31461860111280704,False,0.16666666666666666,False,0.09067714634023546,RandomForest,RandomForest,False,0.16666666666666666
6,False,True,0.5608447126441315,True,0.9,True,0.9967934337013729,RandomForest,AdaBoost,True,0.9645289558009151
7,False,False,0.3392576280857987,False,0.3779761904761905,False,0.4947711340136299,RandomForest,RandomForest,False,0.3779761904761905
5,True,False,0.20913581496217049,False,0.24166666666666664,False,0.12375352062247147,RandomForest,RandomForest,False,0.24166666666666664
14,False,False,0.31461860111280704,False,0.05,False,0.12256431495081856,RandomForest,RandomForest,False,0.05
4,False,False,0.4033309348343808,False,0.4900000000000001,False,0.4960530651582755,RandomForest,RandomForest,False,0.4611103116114603
5,False,True,0.5633938817071401,True,0.86,True,0.8673983543713881,RandomForest,RandomForest,True,0.86
24,True,True,0.8835713205499194,True,0.9666666666666666,True,0.8469672603169026,RandomForest,RandomForest,True,0.9666666666666666
21,True,True,0.8385678540604641,True,0.7483333333333333,True,0.8235217739497067,RandomForest,RandomForest,True,0.7483333333333333
7,False,False,0.33925762808579885,False,0.3584126984126985,False,0.4933525098775952,RandomForest,RandomForest,False,0.3584126984126985
13,False,False,0.29013991257814936,False,0.05,False,0.07021178776978143,RandomForest,RandomForest,False,0.05
7,False,False,0.3392576280857987,False,0.4941666666666665,False,0.4958835901368456,RandomForest,RandomForest,False,0.4941666666666665
51,True,True,0.9663781039997756,True,1.0,True,0.8244587437935459,RandomForest,RandomForest,True,1.0
21,True,True,0.8385678540604641,True,1.0,True,0.8458968155592482,RandomForest,RandomForest,True,1.0
15,True,False,0.4781502361257304,True,0.5933333333333334,True,0.5002149052497428,RandomForest,RandomForest,True,0.5933333333333334
7,True,False,0.26623232884146397,False,0.2345238095238095,False,0.4881880763542067,RandomForest,RandomForest,False,0.2345238095238095
2,False,True,0.6009992877030342,True,0.8,True,0.8676481968940823,RandomForest,RandomForest,True,0.8
15,False,True,0.6794212076838729,True,0.9,True,0.8208249183408731,RandomForest,RandomForest,True,0.9
9,False,True,0.5705818749558753,True,1.0,True,0.9622209524841718,RandomForest,RandomForest,True,1.0
10,False,True,0.5788903211449398,True,0.8933333333333333,True,0.8844526744905012,RandomForest,RandomForest,True,0.8933333333333333
17,False,True,0.7649795580618322,True,0.9,True,0.8130001836371409,RandomForest,RandomForest,True,0.9
9,True,False,0.2205105633477913,False,0.4,False,0.2380931063202973,RandomForest,RandomForest,False,0.4
17,True,True,0.5408303006211268,True,0.6166666666666667,False,0.4960911219211621,RandomForest,RandomForest,True,0.6166666666666667
15,True,False,0.4781502361257304,True,0.6,False,0.4995082883574246,RandomForest,RandomForest,True,0.6
17,True,True,0.5408303006211268,True,0.5516666666666667,True,0.5005767394117242,RandomForest,RandomForest,True,0.5516666666666667
16,False,True,0.6076708294151093,True,0.6478571428571429,True,0.5128892245687152,RandomForest,RandomForest,True,0.6478571428571429
