cbo,rfc,lcom,loc,cam,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
10,18,3,106,0.444444444,32.66666667,1,False,False,0.03510017858263132,False,0.0,False,0.18734618809203726,Voting,Voting,False,0.03510017858263132
4,13,0,76,0.5,13.4,1,False,False,0.030343243918265726,False,0.0,False,0.20297978998053245,Voting,Voting,False,0.030343243918265726
1,3,0,7,1.0,6.0,0,False,False,0.014547334488201662,False,0.1,False,0.011650276918672837,Voting,Voting,False,0.014547334488201662
13,20,12,101,0.40625,11.0,1,False,False,0.03694097755486322,False,0.1,False,0.2297113288639844,Voting,Voting,False,0.03694097755486322
5,26,16,185,0.388888889,19.0,2,True,False,0.048858508798516435,False,0.2,False,0.35055588044886155,Voting,Voting,False,0.048858508798516435
7,4,1,16,0.5555555560000001,4.0,1,False,False,0.022555188633383943,False,0.1,False,0.20567220395516675,Voting,Voting,False,0.022555188633383943
4,40,130,345,0.284210526,15.9,3,True,False,0.08025957186140457,False,0.4,False,0.3660267144264844,Voting,Voting,False,0.08025957186140457
7,28,20,183,0.3,12.53846154,7,False,False,0.4052285231169445,False,0.2,False,0.1072911505869363,Voting,Voting,False,0.4052285231169445
5,19,8,119,0.518518519,11.77777778,3,False,False,0.038715877122793764,False,0.0,False,0.10614754089470978,Voting,Voting,False,0.038715877122793764
9,25,0,255,0.342857143,34.85714286,9,False,False,0.4161909958531281,False,0.1,False,0.3416490774981914,Voting,Voting,False,0.4161909958531281
5,17,26,71,0.333333333,6.555555556,3,False,False,0.041577035601074036,False,0.2,False,0.2760008666167294,Voting,Voting,False,0.041577035601074036
19,10,3,38,0.583333333,11.66666667,1,False,False,0.02412956480323301,False,0.0,False,0.16331416022746048,Voting,Voting,False,0.02412956480323301
10,1,0,1,1.0,0.0,1,False,False,0.01414438672466601,False,0.0,False,0.0731375825766709,Voting,Voting,False,0.01414438672466601
3,12,20,54,0.375,4.555555556,1,False,False,0.03228829850456478,False,0.1,False,0.3640514716333144,Voting,Voting,False,0.03228829850456478
7,40,129,252,0.3815789470000001,11.52631579,6,False,False,0.0810472179418564,False,0.0,False,0.018639826527647344,Voting,Voting,False,0.0810472179418564
13,26,0,110,0.26,9.9,3,False,False,0.05305485417468029,False,0.3,False,0.34683607890585194,Voting,Voting,False,0.05305485417468029
2,5,0,34,0.5,10.0,1,False,False,0.02514281061432794,False,0.0,False,0.002506796944525475,Voting,Voting,False,0.02514281061432794
7,79,136,835,0.19375,39.8,10,False,True,0.8740311410143944,True,0.7,True,0.5380614993934639,Voting,Voting,True,0.8740311410143944
8,6,15,6,0.444444444,0.0,1,False,False,0.025415451345542784,False,0.0,False,0.08798469614973611,Voting,Voting,False,0.025415451345542784
5,11,1,41,0.75,12.33333333,3,True,False,0.02578600395877452,False,0.0,False,0.18546979272935504,Voting,Voting,False,0.02578600395877452
7,14,6,70,0.8,12.6,4,False,False,0.028259052241226695,False,0.0,False,0.25519618776304626,Voting,Voting,False,0.028259052241226695
1,1,0,1,1.0,0.0,1,False,False,0.014788139746495241,False,0.0,False,0.015687489218987074,Voting,Voting,False,0.014788139746495241
7,26,0,181,0.409090909,15.0,1,False,False,0.3786207768843555,False,0.1,False,0.35000756920577925,Voting,Voting,False,0.3786207768843555
5,15,3,51,0.666666667,16.0,2,False,False,0.02852511212614683,False,0.0,False,0.05224110821890944,Voting,Voting,False,0.02852511212614683
5,7,1,29,0.666666667,8.333333332999999,1,False,False,0.022294584955213973,False,0.0,False,0.3101194250858685,Voting,Voting,False,0.022294584955213973
15,65,76,483,0.311111111,28.25,9,True,False,0.28412626384525524,False,0.4,False,0.3612194089096829,Voting,AdaBoost,False,0.3612194089096829
12,5,0,18,0.4375,3.25,1,False,False,0.0249823654045124,False,0.0,False,0.06291098091209199,Voting,Voting,False,0.0249823654045124
11,65,75,443,0.295238095,28.06666667,5,False,False,0.16834819346764465,False,0.4,True,0.5337267205604819,Voting,Voting,False,0.16834819346764465
3,24,17,309,0.545454545,26.45454545,11,False,False,0.4220134229542067,False,0.3,False,0.408244307312165,Voting,Voting,False,0.4220134229542067
1,3,1,7,0.75,2.5,1,False,False,0.01911841988432164,False,0.0,False,0.007179997909384033,Voting,Voting,False,0.01911841988432164
9,41,0,204,0.225,12.33333333,2,False,False,0.07482474564449887,False,0.2,False,0.21916147666839134,Voting,Voting,False,0.07482474564449887
11,29,85,108,0.321428571,6.571428571,4,False,False,0.055397074529463,False,0.1,False,0.21337501607460552,Voting,Voting,False,0.055397074529463
8,101,157,1286,0.183760684,45.62962963,4,True,True,0.9073114020830474,True,0.7,True,0.6339669357227251,Voting,Voting,True,0.9073114020830474
8,23,4,249,0.8,48.2,1,False,False,0.3646094262827971,False,0.2,False,0.38613768690294503,Voting,Voting,False,0.3646094262827971
2,3,3,4,0.666666667,0.0,1,False,False,0.020360197679081243,False,0.0,False,0.0014093707906198832,Voting,Voting,False,0.020360197679081243
5,19,6,57,0.625,13.25,2,False,False,0.03227659508786728,False,0.0,False,0.25427870949492604,Voting,Voting,False,0.03227659508786728
2,11,3,53,0.666666667,7.5,1,False,False,0.025027618832541645,False,0.0,False,0.009787374554075164,Voting,Voting,False,0.025027618832541645
20,106,1313,1133,0.195454545,19.12727273,10,False,True,0.8971997281726178,True,0.8,True,0.8233604357415235,Voting,Voting,True,0.8971997281726178
4,19,3,136,0.666666667,44.33333333,2,False,False,0.03237703346500085,False,0.0,False,0.21667145280837288,Voting,Voting,False,0.03237703346500085
4,22,0,169,0.625,19.875,7,False,False,0.0498539630905443,False,0.2,False,0.4668039476973239,Voting,Voting,False,0.0498539630905443
1,23,39,136,0.348484848,10.81818182,1,False,False,0.04387840473459079,False,0.1,False,0.14725243888469414,Voting,Voting,False,0.04387840473459079
10,29,43,91,0.2,7.9,3,False,False,0.05803842407361859,False,0.0,False,0.23321473102911824,Voting,AdaBoost,False,0.23321473102911824
1,2,0,4,1.0,3.0,0,False,False,0.01421169498552382,False,0.0,False,0.026709027900384732,Voting,Voting,False,0.01421169498552382
12,22,3,72,1.0,22.66666667,1,False,False,0.023223598206624143,False,0.2,False,0.3842132863418835,Voting,Voting,False,0.023223598206624143
32,36,36,281,0.25,29.55555556,11,False,False,0.16747877776008602,False,0.3,False,0.3445386066086704,Voting,Voting,False,0.16747877776008602
24,8,3,43,0.7142857140000001,4.714285714,1,False,False,0.020163360111648047,False,0.0,False,0.1480718835821389,Voting,Voting,False,0.020163360111648047
4,19,30,130,0.666666667,13.33333333,4,False,False,0.03650701112094256,False,0.1,False,0.2693250595723253,Voting,Voting,False,0.03650701112094256
61,144,1603,2303,0.213709677,35.01587302,35,True,True,0.9926986580914602,True,0.8,True,0.8676668368112842,Voting,Voting,True,0.9926986580914602
20,13,7,56,0.433333333,8.0,1,False,False,0.02941265768546857,False,0.1,False,0.044720467558533074,Voting,Voting,False,0.02941265768546857
6,2,1,2,0.666666667,0.0,1,False,False,0.01952715010926517,False,0.0,False,0.03000916065998025,Voting,Voting,False,0.01952715010926517
