max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1,False,False,0.0903869651511763,False,0.12857280811065888,False,0.4895584693834993,Voting,Voting,False,0.0903869651511763
1,False,False,0.0903869651511763,False,0.12924724125803694,False,0.4896725313224636,Voting,Voting,False,0.0903869651511763
14,True,True,0.8986305510326905,True,1.0,True,0.8179664451625157,Voting,Voting,True,0.8986305510326905
2,False,False,0.05787195660575335,False,0.0,False,0.037288186078277684,Voting,Voting,False,0.05787195660575335
1,False,False,0.0903869651511763,False,0.1374658098068914,False,0.4895740462353858,Voting,Voting,False,0.0903869651511763
2,False,False,0.05787195660575335,False,0.0,False,0.04542831449224876,Voting,Voting,False,0.05787195660575335
6,False,False,0.4216657647584574,False,0.05,False,0.17890827884366695,Voting,Voting,False,0.4216657647584574
1,False,False,0.09038696515117632,False,0.13081630934453514,False,0.4892074946349246,Voting,Voting,False,0.09038696515117632
1,False,False,0.09038696515117632,False,0.10154872429115913,False,0.4892462487437103,Voting,Voting,False,0.09038696515117632
2,False,False,0.05787195660575335,False,0.0,False,0.02482025256441417,Voting,Voting,False,0.05787195660575335
1,False,False,0.09038696515117632,False,0.14757785225527162,False,0.4889112420572068,Voting,Voting,False,0.09038696515117632
1,False,False,0.09038696515117632,False,0.09706075891559764,False,0.4903860181221537,Voting,Voting,False,0.09038696515117632
2,False,False,0.05787195660575335,False,0.0,False,0.033941695613727056,Voting,Voting,False,0.05787195660575335
1,False,False,0.09038696515117632,False,0.147128714444621,False,0.4886853509727304,Voting,Voting,False,0.09038696515117632
3,False,False,0.14178060149554375,False,0.10666666666666666,False,0.4921615829785928,Voting,Voting,False,0.14178060149554375
1,False,False,0.09038696515117632,False,0.11335217791075175,False,0.4900423639011833,Voting,Voting,False,0.09038696515117632
2,False,False,0.05787195660575335,False,0.0,False,0.07713251911862125,Voting,Voting,False,0.05787195660575335
3,False,False,0.14178060149554375,False,0.22345238095238096,False,0.4867341261721037,Voting,Voting,False,0.14178060149554375
1,False,False,0.09038696515117632,False,0.1395892538432861,False,0.4896488933262271,Voting,Voting,False,0.09038696515117632
5,False,True,0.5763461093746476,True,0.8,True,0.6831866007695769,Voting,Voting,True,0.5763461093746476
2,False,False,0.05787195660575335,False,0.0,False,0.08536169528570382,Voting,Voting,False,0.05787195660575335
1,False,False,0.09038696515117632,False,0.13074711636117425,False,0.4885566194904376,Voting,Voting,False,0.09038696515117632
1,False,False,0.09038696515117632,False,0.10607074467115037,False,0.4902793630254835,Voting,Voting,False,0.09038696515117632
2,False,False,0.05787195660575335,False,0.0,False,0.02837322952710997,Voting,Voting,False,0.05787195660575335
0,False,False,0.04849616181188352,False,0.02997184684684685,False,0.1377257624319414,Voting,Voting,False,0.04849616181188352
1,False,False,0.09038696515117632,False,0.11342119213924487,False,0.4904660882065139,Voting,Voting,False,0.09038696515117632
1,True,False,0.07320924078957541,False,0.0936066494627542,False,0.48739060000550105,Voting,Voting,False,0.07320924078957541
2,False,False,0.05787195660575335,False,0.0,False,0.06675235344073001,Voting,Voting,False,0.05787195660575335
1,False,False,0.09038696515117632,False,0.10724489198524677,False,0.4889066552641174,Voting,Voting,False,0.09038696515117632
2,False,False,0.05787195660575335,False,0.0,False,0.04078180539160036,Voting,Voting,False,0.05787195660575335
1,False,False,0.09038696515117632,False,0.10878425372830104,False,0.4901397876651713,Voting,Voting,False,0.09038696515117632
2,False,False,0.05787195660575335,False,0.0,False,0.04752689335445648,Voting,Voting,False,0.05787195660575335
2,False,False,0.05787195660575335,False,0.0,False,0.032289753269712215,Voting,Voting,False,0.05787195660575335
3,False,False,0.14178060149554375,False,0.2269047619047619,False,0.4908902880880439,Voting,Voting,False,0.14178060149554375
16,True,True,0.9320822557549014,True,1.0,True,0.8156542768901782,Voting,Voting,True,0.9320822557549014
2,False,False,0.05787195660575335,False,0.0,False,0.04068322001798683,Voting,Voting,False,0.05787195660575335
4,False,False,0.1701585132613521,False,0.13428571428571429,False,0.4850701934191951,Voting,Voting,False,0.1701585132613521
1,False,False,0.09038696515117632,False,0.14366874665498952,False,0.4902747657070759,Voting,Voting,False,0.09038696515117632
3,False,False,0.14178060149554375,False,0.1956746031746032,False,0.4869347473568692,Voting,Voting,False,0.14178060149554375
0,False,False,0.04849616181188352,False,0.061784880804379584,False,0.10387315810457626,Voting,Voting,False,0.04849616181188352
5,True,False,0.1897729844488786,False,0.0,False,0.08949596626007351,Voting,Voting,False,0.1897729844488786
2,False,False,0.05787195660575335,False,0.0,False,0.07143767769916867,Voting,Voting,False,0.05787195660575335
6,False,False,0.4216657647584574,False,0.0,False,0.177388678099067,Voting,Voting,False,0.4216657647584574
1,False,False,0.09038696515117632,False,0.11137380682797,False,0.4904446856022152,Voting,Voting,False,0.09038696515117632
1,False,False,0.09038696515117632,False,0.1020052028590928,False,0.4898285044327506,Voting,Voting,False,0.09038696515117632
1,False,False,0.09038696515117632,False,0.15912128296306882,False,0.4893843556621673,Voting,Voting,False,0.09038696515117632
1,False,False,0.09038696515117632,False,0.09810123733086384,False,0.4894936258826898,Voting,Voting,False,0.09038696515117632
1,False,False,0.09038696515117632,False,0.11479735277149072,False,0.4897423686964583,Voting,Voting,False,0.09038696515117632
1,False,False,0.09038696515117632,False,0.11692730822534468,False,0.4892521487677386,Voting,Voting,False,0.09038696515117632
1,False,False,0.09038696515117632,False,0.13699853502135534,False,0.4897626167946552,Voting,Voting,False,0.09038696515117632
1,False,False,0.09038696515117632,False,0.12532720690615426,False,0.4901687175171292,Voting,Voting,False,0.09038696515117632
1,True,False,0.07320924078957541,False,0.09564060645523496,False,0.4883547540055488,Voting,Voting,False,0.07320924078957541
1,False,False,0.09038696515117632,False,0.13331468138541355,False,0.4894240447562706,Voting,Voting,False,0.09038696515117632
1,True,False,0.07320924078957541,False,0.08165784984570564,False,0.4883248655262215,Voting,Voting,False,0.07320924078957541
1,False,False,0.09038696515117632,False,0.1220019535686702,False,0.4897371079466273,Voting,Voting,False,0.09038696515117632
3,True,False,0.06674171166609086,False,0.0,False,0.12129812027978708,Voting,Voting,False,0.06674171166609086
1,False,False,0.09038696515117632,False,0.156752054632793,False,0.4893271046047463,Voting,Voting,False,0.09038696515117632
2,False,False,0.05787195660575335,False,0.0,False,0.0584535609471646,Voting,Voting,False,0.05787195660575335
3,False,False,0.14178060149554375,False,0.2747727272727273,False,0.4837255214258836,Voting,Voting,False,0.14178060149554375
14,True,True,0.8986305510326905,True,0.9,True,0.816769545061393,Voting,Voting,True,0.8986305510326905
1,True,False,0.07320924078957541,False,0.08678965715191876,False,0.4883070466602899,Voting,Voting,False,0.07320924078957541
2,False,False,0.05787195660575335,False,0.0,False,0.06432409960632489,Voting,Voting,False,0.05787195660575335
1,False,False,0.0903869651511763,False,0.13035495111880638,False,0.4898818761730613,Voting,Voting,False,0.0903869651511763
6,False,False,0.4216657647584575,False,0.0,False,0.18175438840109684,Voting,Voting,False,0.4216657647584575
1,False,False,0.0903869651511763,False,0.13706159072206314,False,0.4887853777901512,Voting,Voting,False,0.0903869651511763
