loc,mfa,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
25,0.666666667,11.5,1.0,False,False,0.06697679498985637,False,0.0,False,2.2204460492503185e-16,Voting
176,0.0,14.72727273,2.0,False,False,0.1972710720558996,False,0.3,False,0.5,Voting
262,0.9936170209999999,63.75,1.0,True,True,0.9337561588561564,True,0.9,True,0.8999999999999999,Voting
5,0.0,0.0,0.0,False,False,0.04337595809007643,False,0.0,False,2.2204460492503185e-16,Voting
347,0.0,41.625,0.875,True,True,0.9496625991907052,True,0.8,True,0.8,Voting
123,0.0,29.75,3.0,True,False,0.4696361147567534,False,0.2,True,0.6000000000000001,AdaBoost
512,0.979035639,45.27272727,2.6364,True,True,0.9917384517695774,True,1.0,True,0.9999999999999998,Voting
57,0.0,55.0,0.0,False,True,0.9306793412607132,True,0.6,True,0.6000000000000001,Voting
5,0.0,0.0,0.0,False,False,0.045564113998366115,False,0.0,False,2.2204460492503185e-16,Voting
75,0.0,14.0,2.2,False,False,0.08180516725875796,False,0.1,False,2.2204460492503185e-16,Voting
247,0.0,34.0,2.5714,True,True,0.5290578591807097,False,0.2,False,0.29999999999999993,Voting
141,0.0,22.16666667,1.1667,True,False,0.14600954101511446,False,0.0,False,2.2204460492503185e-16,Voting
210,0.0,33.0,1.1667,False,True,0.6361014956005032,True,0.6,False,0.5,AdaBoost
630,0.0,205.66666669999998,0.6667,True,True,0.9999827588042548,True,0.9,True,0.8999999999999999,Voting
50,0.666666667,24.0,1.5,False,False,0.10946869367811862,False,0.0,False,0.2,Voting
155,0.0,24.5,1.1667,False,False,0.18281562891213327,False,0.1,False,0.28989794855663564,Voting
376,0.0,61.66666667,4.5,True,True,0.9785449699168088,True,1.0,True,0.999976508109744,Voting
3,0.0,0.0,1.0,False,False,0.04355694423544237,False,0.1,False,0.10000000000000002,Voting
515,0.998095238,254.5,1.0,True,True,0.9999913360981428,True,1.0,True,0.9999999999999998,Voting
34,0.0,16.0,0.5,False,False,0.0800393773203306,False,0.0,False,2.2204460492503185e-16,Voting
155,0.0,24.5,1.1667,False,False,0.18639425484836125,False,0.3,False,0.4000000000000001,Voting
99,0.695652174,10.875,1.375,False,False,0.0996588632803484,False,0.1,False,2.2204460492503185e-16,Voting
30,0.666666667,14.0,0.5,False,False,0.07030022613098212,False,0.0,False,2.2204460492503185e-16,Voting
29,0.666666667,13.5,0.5,False,False,0.0655204175556889,False,0.0,False,4.967053706610929e-09,Voting
68,0.9090909090000001,33.0,1.5,False,True,0.5043070352325982,False,0.2,False,0.29999999999999993,Voting
251,0.0,22.9,2.4,False,True,0.563062977628592,True,0.6,False,0.29999999999999993,AdaBoost
174,0.9957356079999999,56.66666667,0.6667,True,True,0.8250887588401418,True,0.6,False,0.4000000000000001,Voting
