rfc,lcom3,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
27,0.7,1.0,False,False,0.12317583156673464,False,0.3,False,0.4052333951571039,AdaBoost
11,0.666666667,0.533333333,False,False,0.13048777155134353,False,0.0,False,0.12403624946224195,AdaBoost
19,0.0,0.46666666700000003,False,False,0.12426881883573047,False,0.0,False,0.06061552916833845,AdaBoost
17,2.0,0.5,False,False,0.12146333665472504,False,0.0,False,0.2576457632486875,AdaBoost
49,0.863095238,0.355555556,True,True,0.9138574474374052,True,0.9,True,0.7961195611878402,AdaBoost
40,0.791666667,0.182222222,False,True,0.9053730735426816,True,0.8,False,0.4790788020438643,AdaBoost
72,0.871352785,0.34444444399999996,True,True,0.9760960559075156,True,1.0,True,0.8894088824070354,AdaBoost
32,0.880681818,0.229813665,True,False,0.4330476272578661,True,0.7,True,0.804502439059317,AdaBoost
93,0.878125,0.218181818,True,True,0.9943978502000927,True,1.0,True,0.9434091150492916,AdaBoost
44,0.761904762,0.5,True,True,0.5153466801729145,True,0.6,False,0.3910312022747911,AdaBoost
12,0.8,0.545454545,False,False,0.1347665046246049,False,0.1,False,0.07999889605577681,AdaBoost
42,0.875362319,1.0,False,False,0.3683724053344733,True,0.7,True,0.5008939542779708,Voting
2,2.0,1.0,False,False,0.3748768209728245,True,0.7,True,0.6000000000000001,Voting
14,0.6190476189999999,0.45833333299999995,False,False,0.1482745417986219,False,0.1,False,0.06952611338444087,AdaBoost
2,2.0,1.0,True,False,0.008077218928975033,False,0.0,False,0.10000000000000002,AdaBoost
44,0.7111111109999999,0.31578947399999996,True,True,0.8872608246444932,False,0.4,True,0.6210931843786435,AdaBoost
36,0.765151515,0.46153846200000004,False,False,0.4433161495460258,False,0.4,True,0.549970929912066,AdaBoost
80,0.8340000000000001,0.23076923100000002,True,True,0.987731781016384,True,1.0,True,0.8683636061650685,AdaBoost
17,0.836363636,0.375,False,False,0.2337293918381468,False,0.4,False,0.3054890741296579,AdaBoost
14,0.6190476189999999,0.45833333299999995,False,False,0.14820890644434168,False,0.0,False,0.08458844145070905,AdaBoost
28,1.25,0.35,True,False,0.3102027234073747,True,0.9,True,0.5471074538220545,AdaBoost
95,0.913647343,0.23758865199999998,True,True,0.9951976931680959,True,1.0,True,0.8758145030500326,AdaBoost
4,2.0,0.75,False,False,0.053714608511468094,False,0.4,False,0.4462866869273464,AdaBoost
56,0.8193277309999999,0.27777777800000003,True,True,0.9510407402875988,True,0.8,True,0.9311240168217328,AdaBoost
63,0.827777778,0.23157894699999998,True,True,0.9690826613375116,True,1.0,True,0.8699088976961243,AdaBoost
6,0.0,0.583333333,False,False,0.058111168791620926,False,0.0,False,0.11444396500753873,AdaBoost
11,2.0,0.515151515,False,False,0.15201657575641975,False,0.2,False,0.10133736133564944,AdaBoost
67,0.8575851390000001,0.23,True,True,0.9682889824969791,True,1.0,True,0.9423638209206184,AdaBoost
18,0.0,0.375,False,False,0.1265690628127326,False,0.1,False,0.2338040484841196,AdaBoost
