wmc,npm,loc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
9,9,44,False,False,0.14798713348206022,False,0.0,False,0.10000000000000002,Voting
9,9,9,False,False,0.12142301395850565,False,0.0,False,2.2204460492503185e-16,Voting
2,1,123,False,False,0.1334580635598678,False,0.0,False,0.023074949571651567,Voting
5,5,24,False,False,0.06610908539315154,False,0.0,False,2.2204460492503185e-16,Voting
0,0,8,False,False,0.032900958309737736,False,0.0,False,1.0019010181928714e-12,Voting
7,7,58,False,False,0.12136089568915805,False,0.1,False,1.4901160971803074e-08,Voting
12,12,100,False,True,0.7966898870877616,True,0.7,True,0.8999999999999999,Voting
0,0,4,False,False,0.027830330198475844,False,0.0,False,4.991296643926129e-06,Voting
16,16,105,False,True,0.938192961567368,True,1.0,True,0.9999999999999998,Voting
4,4,18,False,False,0.05922466832357987,False,0.0,False,2.2204460492503185e-16,Voting
10,10,68,True,False,0.1785274299635824,True,0.7,True,0.5382805580672482,Voting
8,8,47,False,False,0.16125305289037994,False,0.0,False,2.2204460492503185e-16,Voting
15,15,74,False,True,0.9026117458719868,True,0.7,True,0.9796915568627258,Voting
0,0,7,False,False,0.03843756731654744,False,0.0,False,2.2204460492503185e-16,Voting
3,2,21,False,False,0.03110529036085971,False,0.0,False,2.2204460492503185e-16,Voting
2,2,2,False,False,0.027662945937015224,False,0.0,False,5.471395291107354e-14,Voting
4,4,38,False,False,0.06758296449234008,False,0.0,False,1.9311960945742256e-10,Voting
3,3,16,False,False,0.039168653029653895,False,0.0,False,2.2204460492503185e-16,Voting
18,2,296,False,False,0.3761015955144633,False,0.4,True,0.6000000000000001,Voting
4,4,38,False,False,0.07770280673899689,False,0.0,False,2.2204460492503185e-16,Voting
2,2,8,False,False,0.038178057256676584,False,0.0,False,2.2204460492503185e-16,Voting
1,1,4,False,False,0.03222372534823916,False,0.0,False,2.2204460492503185e-16,Voting
7,7,58,False,False,0.131494386531152,False,0.1,False,2.2204460492503185e-16,Voting
1,1,4,False,False,0.028168356435123387,False,0.0,False,1.2862197310296147e-12,Voting
11,11,54,False,False,0.2487837211986299,False,0.4,False,0.10000000000000002,Voting
14,14,209,False,True,0.9898702426922492,True,0.7,False,0.5,AdaBoost
0,0,6,False,False,0.0339299538873705,False,0.0,False,2.2204460492503185e-16,Voting
2,2,10,False,False,0.04358490380303882,False,0.0,False,0.018067759920252745,Voting
3,3,14,False,False,0.041205175715171266,False,0.0,False,2.2204460492503185e-16,Voting
1,1,4,False,False,0.030702098123094258,False,0.0,False,2.426500717317061e-13,Voting
4,4,30,False,False,0.06252158245627562,False,0.0,False,2.2204460492503185e-16,Voting
7,7,39,False,False,0.0881550154775707,False,0.1,False,2.2204460492503185e-16,Voting
21,21,181,True,True,0.9865107583988656,True,1.0,True,0.9999999999823715,Voting
1,1,4,False,False,0.02981926512712378,False,0.0,False,0.004054949002016584,Voting
8,8,88,False,True,0.5521237439196274,True,0.9,True,0.60435607626104,Voting
8,8,47,False,False,0.12226719519649135,False,0.0,False,4.967053706610929e-09,Voting
6,6,34,False,False,0.09133796562179554,False,0.0,False,2.2204460492503185e-16,Voting
25,25,201,False,True,0.9966727811347122,True,1.0,True,0.9999785459978024,Voting
4,4,28,False,False,0.06090561884356584,False,0.0,False,2.844147333010432e-12,Voting
9,9,51,False,False,0.1573354514095031,False,0.0,False,1.7628389884097995e-11,Voting
6,6,83,False,True,0.5001795832145778,False,0.3,False,0.4000000000000001,Voting
0,0,4,False,False,0.029999458386842114,False,0.0,False,2.2204460492503185e-16,Voting
11,11,95,False,True,0.7074101814709483,True,1.0,True,0.7881237637320255,Voting
7,7,42,False,False,0.10503660996395164,False,0.0,False,2.2204460492503185e-16,Voting
2,2,10,False,False,0.04000038225655988,False,0.0,False,2.2204460492503185e-16,Voting
0,0,4,False,False,0.031027627851674112,False,0.0,False,0.004958330075570214,Voting
0,0,4,False,False,0.031208650370881243,False,0.0,False,2.2204460492503185e-16,Voting
4,4,39,False,False,0.07461558632417807,False,0.0,False,9.4594682177286e-10,Voting
29,29,348,True,True,0.6662803237555045,False,0.2,False,0.15705266176501034,Voting
5,5,44,False,False,0.0801901103883225,False,0.0,False,6.245245472558982e-08,Voting
4,4,23,False,False,0.054440411887318435,False,0.0,False,2.2204460492503185e-16,Voting
19,19,162,True,True,0.9787213557607876,True,1.0,True,0.9999999999999998,Voting
4,4,23,False,False,0.07064133208449433,False,0.0,False,2.2204460492503185e-16,Voting
8,8,47,False,False,0.1490548960520641,False,0.0,False,0.1242609530527022,Voting
9,9,55,False,False,0.14923154433868144,False,0.0,False,0.10000000000000002,Voting
7,7,67,True,False,0.08723567450638442,False,0.0,False,2.2204460492503185e-16,Voting
9,9,68,False,True,0.5555329577192862,True,1.0,True,0.8888728441924184,Voting
4,4,38,False,False,0.07348087774858539,False,0.0,False,2.2204460492503185e-16,Voting
3,3,111,False,False,0.1858624668208766,False,0.2,False,0.13638011603380198,Voting
14,14,126,False,True,0.9180822210819146,True,0.6,True,0.7,Voting
2,2,2,False,False,0.03890006371438074,False,0.0,False,0.017542550725695886,Voting
5,3,45,False,False,0.03910494878488049,False,0.0,False,8.913038262954132e-14,Voting
0,0,3,False,False,0.029345026187433888,False,0.0,False,2.2204460492503185e-16,Voting
4,4,22,False,False,0.06358886484296282,False,0.0,False,2.2204460492503185e-16,Voting
