cbo,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
9,False,False,0.4607514331322275,False,0.22273809523809526,False,0.4995917770501976,Voting
9,False,False,0.3411454593164717,False,0.4278787878787879,False,0.4950636870873114,Voting
5,False,False,0.1291047396758741,False,0.0,False,1.1278591627755046e-07,Voting
12,False,True,0.6593183814160078,True,0.7433333333333333,True,0.5118817782475023,Voting
1,False,False,0.0360944708551869,False,0.0,False,3.8084407164942116e-08,Voting
6,False,False,0.13312234486400995,False,0.0,False,1.597676225229666e-07,Voting
1,False,False,0.04414684783787868,False,0.0,False,5.31108461869853e-09,Voting
3,False,False,0.06906274851951963,False,0.0,False,2.8407039356807434e-08,Voting
9,False,False,0.4425910128425276,False,0.4983513708513708,False,0.4955330682412334,Voting
9,True,False,0.17581210237297265,False,0.0,False,2.2204460492503185e-16,Voting
2,False,False,0.04616137155155702,False,0.0,False,1.863205095264007e-08,Voting
2,False,False,0.05839675428007191,False,0.0,False,9.18843356933573e-08,Voting
9,False,False,0.3737962470511203,False,0.2045238095238095,False,0.4965864646376936,Voting
12,False,True,0.777284151211255,True,0.55,True,0.501300963283715,Voting
4,False,False,0.07396445171137846,False,0.0,False,3.5031072972364205e-08,Voting
4,False,False,0.07241460857711858,False,0.0,False,4.6903204897215294e-08,Voting
11,False,True,0.7918108340301494,True,0.9333333333333332,True,0.9116346994503164,Voting
15,True,True,0.9266141230211884,True,1.0,True,0.8676838711968553,Voting
25,True,True,0.6647961311369951,True,1.0,True,0.8320762768652489,Voting
1,False,False,0.035638544303344365,False,0.0,False,2.9126745507889592e-08,Voting
7,False,False,0.19573764916426134,False,0.0,False,0.0007171369819942196,Voting
9,False,False,0.44620490371485183,False,0.2961396936396936,False,0.4982565358781745,Voting
14,True,True,0.90467767134066,True,1.0,True,0.9785790050784241,Voting
3,False,False,0.06038804665855931,False,0.0,False,3.522456611886044e-08,Voting
2,False,False,0.04593486887095408,False,0.0,False,6.259838859921546e-09,Voting
3,False,False,0.061846924026418636,False,0.0,False,3.1673810122249104e-08,Voting
1,False,False,0.04353457520065677,False,0.0,False,1.2922283268636278e-10,Voting
