cbo,ca,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
4,1,4,True,False,0.3448328325142775,True,0.7,True,0.5455671617607093,Voting
7,6,1,True,True,0.9906760771436232,True,1.0,True,0.9099485668683084,Voting
6,0,2,True,False,0.09503759278661801,False,0.33,False,0.2440894243786002,Voting
2,1,1,True,False,0.45480594793444,True,1.0,True,0.9314587228130824,Voting
6,0,8,True,True,0.6227356445385864,True,1.0,True,0.8618239927027829,Voting
9,6,0,True,True,0.9891724438947082,True,1.0,True,0.9688850903785832,Voting
8,1,13,True,True,0.9637816834257956,True,1.0,True,0.6924575691435119,Voting
3,1,2,True,False,0.20061053924983646,False,0.2619444444444444,False,0.4929754993967006,Voting
3,0,6,True,False,0.1476489308690944,False,0.0,False,0.09490516925553537,Voting
0,0,2,True,False,0.12843729798637168,False,0.21933621933621933,False,0.4875016894439949,Voting
4,0,14,True,True,0.5993128417943706,False,0.36666666666666653,False,0.31979261548793103,Voting
10,8,2,True,True,0.998553449184706,True,1.0,True,0.8900411122611408,Voting
1,0,4,True,False,0.4432978913256495,True,0.9,True,0.8775382457497323,Voting
3,0,2,True,False,0.14305106749075738,False,0.1803253865382012,False,0.4909674491199679,Voting
8,0,5,True,True,0.6714827060072276,True,1.0,True,0.8615580643559397,Voting
9,0,2,True,True,0.7109794542155781,True,1.0,True,0.8116917943195024,Voting
5,4,3,True,True,0.9701126618993796,True,1.0,True,0.9306920790003236,Voting
3,2,9,True,True,0.9112323121171464,True,1.0,True,0.7694282917892084,Voting
62,52,12,True,True,1.0,True,1.0,True,0.9467347674071962,Voting
4,1,2,True,False,0.4759090626966354,False,0.4127777777777778,True,0.5225510437802486,AdaBoost
4,1,2,False,False,0.4759090626966354,False,0.4127777777777778,True,0.5225510437802486,Voting
6,2,4,True,True,0.8119535352583975,True,1.0,True,0.9257783923159909,Voting
4,3,1,True,True,0.8854404487894731,True,1.0,True,0.7628276610336594,Voting
4,1,3,True,False,0.15936654156759902,False,0.15,False,0.17594449284607433,Voting
2,2,2,True,True,0.5851762771630916,True,0.95,True,0.9207176886915944,Voting
2,1,7,True,True,0.6308279351493827,True,1.0,True,0.9636102216749256,Voting
10,4,13,True,True,0.9980560024738484,True,1.0,True,0.9488503063549112,Voting
3,1,4,True,True,0.5227630239124793,True,1.0,True,0.9316174263435208,Voting
0,0,2,True,False,0.4671753254386789,False,0.3098135198135198,False,0.4906994857282302,Voting
2,1,5,True,True,0.5567666562935508,True,1.0,True,0.9629829544816804,Voting
5,2,1,True,False,0.3752969330100924,True,0.6266666666666666,True,0.5635279408046356,Voting
0,0,0,True,True,0.6426130027643229,True,0.5766666666666668,True,0.6452809465999891,Voting
6,0,3,True,False,0.2891434496740172,True,0.7,True,0.5323937042830127,Voting
2,1,1,True,False,0.4472396290901461,True,1.0,True,0.923889087811688,Voting
6,3,9,True,True,0.9874416174516808,True,1.0,True,0.9510899514098516,Voting
0,0,1,False,True,0.647088542606853,True,0.5766666666666668,True,0.5978897819443227,Voting
3,3,7,True,True,0.9785284384582952,True,1.0,True,0.9028681289621812,Voting
1,1,2,False,False,0.4928326549238551,True,0.8800000000000001,True,0.8276875616724706,Voting
17,16,26,True,True,0.9999999940395948,True,1.0,True,0.9253580891414596,Voting
3,1,2,False,False,0.4685532833190757,True,1.0,True,0.8636897060090017,Voting
4,4,4,True,True,0.9723445041452242,True,1.0,True,0.9654310534675404,Voting
1,1,2,True,False,0.4928326549238551,True,0.8800000000000001,True,0.8276875616724706,Voting
1,1,11,True,True,0.9533637904357982,True,0.8,True,0.5271500297338995,Voting
8,8,1,True,True,0.9956934452841132,True,1.0,True,0.9951613316769291,Voting
