rfc,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
49,0,True,True,0.9983759259001298,True,1.0,True,0.8678848696718746,Voting
1,1,True,True,0.8234153150859379,True,1.0,True,0.9997404681053162,Voting
12,7,True,True,0.9999998693517794,True,1.0,True,0.9922186698614232,Voting
16,3,True,True,0.999833524816292,True,1.0,True,0.9922186698614232,Voting
6,3,True,True,0.9995740762400116,True,1.0,True,0.9773283107706008,Voting
46,3,True,True,0.9999910289851628,True,1.0,True,0.9623985661406071,Voting
46,5,True,True,0.9999997667386464,True,1.0,True,0.9623985661406071,Voting
76,31,True,True,1.0,True,1.0,True,0.9623985661406071,Voting
125,10,True,True,0.9999999999999796,True,1.0,True,0.9623985661406071,Voting
61,26,True,True,1.0,True,1.0,True,0.9623985661406071,Voting
7,3,True,True,0.9996034718208912,True,1.0,True,0.9729431283621108,Voting
5,3,True,True,0.9995440593789376,True,1.0,True,0.9387908228606614,Voting
60,5,True,True,0.9999999341054928,True,1.0,True,0.9623985661406071,Voting
26,14,True,True,0.9999999999998956,True,1.0,True,0.8395918108589504,Voting
29,11,True,True,0.9999999999809696,True,1.0,True,0.9623985661406071,Voting
28,7,True,True,0.9999999691906776,True,1.0,True,0.9623985661406071,Voting
2,1,True,True,0.8044879957046431,True,0.9841139371381308,True,0.5221216172779866,Voting
7,3,True,True,0.9996034718208912,True,1.0,True,0.9729431283621108,Voting
22,3,True,True,0.9999159544723416,True,1.0,True,0.9922186698614232,Voting
48,7,True,True,0.9999999949370304,True,1.0,True,0.9623985661406071,Voting
15,3,True,True,0.9998134318007548,True,1.0,True,0.9922186698614232,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9048592687225084,Voting
79,7,True,True,0.99999999969184,True,1.0,True,0.9623985661406071,Voting
24,2,True,True,0.9990000494570478,True,1.0,True,0.9473325746809425,Voting
59,9,True,True,0.9999999999512422,True,1.0,True,0.9623985661406071,Voting
72,19,True,True,1.0,True,1.0,True,0.9623985661406071,Voting
79,13,True,True,0.9999999999999948,True,1.0,True,0.9623985661406071,Voting
22,5,True,True,0.999997963086068,True,1.0,True,0.9922186698614232,Voting
4,2,True,True,0.9789298322379438,True,1.0,True,0.9267583171997236,Voting
5,0,False,False,0.3753189268561576,False,0.0,False,0.11406482901186395,Voting
428,130,True,True,1.0,True,1.0,True,0.9623985661406071,Voting
19,13,True,True,0.9999999999987792,True,1.0,True,0.9922186698614232,Voting
49,0,True,True,0.9983759259001298,True,1.0,True,0.8678848696718746,Voting
47,22,True,True,1.0,True,1.0,True,0.9623985661406071,Voting
21,7,True,True,0.9999999420332422,True,1.0,True,0.9922186698614232,Voting
20,9,True,True,0.9999999983503841,True,1.0,True,0.9922186698614232,Voting
66,5,True,True,0.9999999616675838,True,1.0,True,0.9623985661406071,Voting
44,17,True,True,1.0,True,1.0,True,0.9623985661406071,Voting
4,2,True,True,0.9789298322379438,True,1.0,True,0.9267583171997236,Voting
7,2,True,True,0.9787541972660976,True,1.0,True,0.9192658542589206,Voting
21,1,True,True,0.9656208542824296,True,1.0,True,0.9888021966229276,Voting
38,5,True,True,0.9999995196550716,True,1.0,True,0.9623985661406071,Voting
51,27,True,True,1.0,True,1.0,True,0.9623985661406071,Voting
31,0,True,True,0.9912111565253312,True,0.8,True,0.7929936684257306,Voting
83,23,True,True,1.0,True,1.0,True,0.9623985661406071,Voting
6,4,True,True,0.999946403643832,True,1.0,True,0.9773283107706008,Voting
36,14,True,True,0.9999999999999576,True,1.0,True,0.9623985661406071,Voting
2,1,True,True,0.8044879957046431,True,0.9841139371381308,True,0.5221216172779866,Voting
21,11,True,True,0.9999999999608116,True,1.0,True,0.9922186698614232,Voting
15,3,True,True,0.9998134318007548,True,1.0,True,0.9922186698614232,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9048592687225084,Voting
51,23,True,True,1.0,True,1.0,True,0.9623985661406071,Voting
1,1,True,True,0.8234153150859379,True,1.0,True,0.9997404681053162,Voting
4,4,True,True,0.9999358071508108,True,1.0,True,0.9481424221863206,Voting
8,4,True,True,0.9999552528559336,True,1.0,True,0.9593049429298052,Voting
1,1,True,True,0.8234153150859379,True,1.0,True,0.9997404681053162,Voting
13,1,True,True,0.8547525457146016,True,1.0,True,0.9888021966229276,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9048592687225084,Voting
26,8,True,True,0.999999994048796,True,1.0,True,0.8395918108589504,Voting
3,3,True,True,0.999480650443874,True,1.0,True,0.9499789921131709,Voting
4,2,True,True,0.9789298322379438,True,1.0,True,0.9267583171997236,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9048592687225084,Voting
4,2,True,True,0.9789298322379438,True,1.0,True,0.9267583171997236,Voting
52,13,True,True,0.999999999999938,True,1.0,True,0.9623985661406071,Voting
31,12,True,True,0.9999999999974384,True,1.0,True,0.9623985661406071,Voting
54,20,True,True,1.0,True,1.0,True,0.9623985661406071,Voting
49,0,True,True,0.9983759259001298,True,1.0,True,0.8678848696718746,Voting
19,7,True,True,0.9999999305604846,True,1.0,True,0.9922186698614232,Voting
15,10,True,True,0.9999999995822204,True,1.0,True,0.9922186698614232,Voting
2,1,True,True,0.8044879957046431,True,0.9841139371381308,True,0.5221216172779866,Voting
17,2,True,True,0.9937525030520096,True,1.0,True,0.9432570419431464,Voting
2,1,True,True,0.8044879957046431,True,0.9841139371381308,True,0.5221216172779866,Voting
15,5,True,True,0.9999961676313256,True,1.0,True,0.9922186698614232,Voting
4,3,True,True,0.9995130811785564,True,1.0,True,0.9481424221863206,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9048592687225084,Voting
20,0,True,True,0.9144999874363998,True,1.0,True,0.8494156486695161,Voting
11,8,True,True,0.9999999769424878,True,1.0,True,0.9922186698614232,Voting
12,12,True,True,0.9999999999857576,True,1.0,True,0.9922186698614232,Voting
