wmc,lcom,ce,mfa,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
14,43,11,0.5,0.276923077,True,False,0.3776700203917058,True,0.7,False,0.3674983391461751,RandomForest
3,3,4,0.9722222220000001,0.533333333,False,False,0.04640151645441598,False,0.0,False,0.03298094440799863,AdaBoost
25,194,5,0.0,0.261904762,False,True,0.8415715900546828,False,0.4,False,0.4485860351230123,AdaBoost
18,149,10,0.6,0.33823529399999996,False,False,0.4988220165161323,False,0.1,False,0.2022956644982382,AdaBoost
16,106,2,0.605263158,0.5,False,False,0.4465125464751178,False,0.0,False,0.310254683057575,AdaBoost
11,7,6,0.72972973,0.333333333,True,False,0.4626099551055531,False,0.5,False,0.31089894295581816,AdaBoost
8,8,12,0.833333333,0.265625,False,False,0.2765564738587454,False,0.5,False,0.40274779747217776,AdaBoost
3,3,3,0.967741935,0.533333333,False,False,0.03956343964349061,False,0.0,False,0.04672874800773067,AdaBoost
4,0,3,0.0,0.583333333,False,False,0.4267818011826536,True,0.6,True,0.5299654744656956,Voting
3,3,2,0.7142857140000001,0.666666667,False,False,0.03467992118863684,False,0.0,False,0.03020400576537598,AdaBoost
8,0,15,0.833333333,0.28125,True,False,0.4702196823420126,False,0.4,False,0.4770095881377136,AdaBoost
12,66,15,0.0,0.295454545,False,True,0.9295056764541836,True,0.8,True,0.5042089772925369,AdaBoost
13,58,4,0.6333333329999999,0.46153846200000004,False,False,0.42404454708914896,False,0.2,False,0.4047012985972889,AdaBoost
6,15,0,0.8125,0.5,False,False,0.03226567302098602,False,0.1,False,0.11492495950473405,AdaBoost
4,0,3,0.571428571,0.45,True,False,0.4028809600710843,True,0.8,True,0.7829573102594529,AdaBoost
37,0,13,0.0,0.177777778,False,True,0.9773391282263484,True,1.0,True,0.915464077744934,AdaBoost
9,0,11,0.0,0.37777777799999995,True,True,0.6490044490404504,True,0.7,True,0.7182219300729757,AdaBoost
1,0,0,0.0,1.0,False,False,0.028567661508383562,False,0.0,False,0.07906881067360318,AdaBoost
5,10,9,0.9090909090000001,0.4,True,False,0.4652422121405093,True,1.0,True,0.8206048823317137,AdaBoost
6,15,9,0.882352941,0.333333333,False,False,0.14870200016811094,False,0.2,False,0.11509332054963815,AdaBoost
153,8092,61,0.0,0.145559211,True,True,0.6688665086525848,True,1.0,True,0.9316698277447484,AdaBoost
12,42,2,0.0,0.36111111100000004,True,False,0.1329233926407408,False,0.4,True,0.5179037075163383,AdaBoost
9,8,4,0.75,0.333333333,False,False,0.09081663891802062,False,0.4,False,0.3829861248238693,AdaBoost
