moa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,False,True,0.5079537981725163,True,0.6988095238095238,True,0.5118299046619902,AdaBoost
0,False,False,0.15609437306745785,False,0.10413933941811766,False,0.4881346145852225,AdaBoost
1,True,True,0.5034911375493415,True,0.7233665559246955,True,0.9996329815765496,AdaBoost
0,False,False,0.15609437306745785,False,0.10393678116533896,False,0.4866814617054744,AdaBoost
0,False,False,0.15609437306745785,False,0.11087006752551427,False,0.4884102186449154,AdaBoost
0,False,False,0.15609437306745785,False,0.0954346547817605,False,0.4879518277149416,AdaBoost
0,False,False,0.15609437306745785,False,0.08798113249146178,False,0.4883726378920664,AdaBoost
0,False,False,0.15609437306745785,False,0.11309026010245522,False,0.4887927775875106,AdaBoost
0,False,False,0.15609437306745785,False,0.1055813845274282,False,0.4891455498556125,AdaBoost
0,True,False,0.12911562043452518,False,0.0668984476695615,False,0.4870305102112955,AdaBoost
2,True,False,0.3598224615767149,True,0.5588095238095239,True,0.5017347616541266,AdaBoost
0,False,False,0.15609437306745785,False,0.09561810788554974,False,0.4881971720532413,AdaBoost
0,False,False,0.15609437306745785,False,0.11580929755134994,False,0.4888496883432217,AdaBoost
0,False,False,0.15609437306745785,False,0.11125850952133902,False,0.4891953592539971,AdaBoost
0,False,False,0.15609437306745785,False,0.08815738019156588,False,0.4892893976861592,AdaBoost
2,True,False,0.3598224615767149,False,0.3154761904761904,True,0.5009340982402529,AdaBoost
0,True,False,0.12911562043452518,False,0.07277562342933869,False,0.4870098089270404,AdaBoost
1,True,True,0.5034911375493415,True,0.8169767441860465,True,0.9985810403464824,AdaBoost
0,False,False,0.15609437306745785,False,0.11054454460102728,False,0.4896948796101183,AdaBoost
0,False,False,0.15609437306745785,False,0.08032122555568905,False,0.487718774143576,AdaBoost
0,True,False,0.12911562043452532,False,0.0728505630223519,False,0.4874778470337759,AdaBoost
6,False,True,0.86484286081768,False,0.4765873015873015,True,0.5046236779767781,RandomForest
0,False,False,0.15609437306745785,False,0.08589222430685843,False,0.488292601984949,AdaBoost
0,False,False,0.15609437306745785,False,0.09832741783961296,False,0.4883600268592361,AdaBoost
0,False,False,0.15609437306745785,False,0.10883631968997824,False,0.4892289558198288,AdaBoost
2,False,True,0.5079537981725163,True,0.7446428571428572,True,0.5104963203272862,AdaBoost
2,True,False,0.3598224615767148,True,0.5733333333333333,True,0.5011528743617054,AdaBoost
0,False,False,0.15609437306745785,False,0.09912735091433272,False,0.4885148433309498,AdaBoost
0,False,False,0.15609437306745785,False,0.13609801017695755,False,0.4882103086578541,AdaBoost
0,False,False,0.15609437306745785,False,0.0889792955215232,False,0.4894455337881179,AdaBoost
0,False,False,0.15609437306745785,False,0.09554002814045856,False,0.4882084643320455,AdaBoost
0,False,False,0.15609437306745785,False,0.1262972530077793,False,0.4891087633399054,AdaBoost
0,False,False,0.15609437306745785,False,0.09821637426900584,False,0.4886624815061444,AdaBoost
0,False,False,0.15609437306745785,False,0.09554476433487984,False,0.4887697974158173,AdaBoost
0,False,False,0.15609437306745785,False,0.0966291958991876,False,0.4881253521024666,AdaBoost
0,False,False,0.15609437306745785,False,0.10667187622803052,False,0.4886558993833346,AdaBoost
0,False,False,0.15609437306745785,False,0.102548753477568,False,0.4886041811053688,AdaBoost
0,False,False,0.15609437306745785,False,0.10502430061937587,False,0.4893393225221054,AdaBoost
0,False,False,0.15609437306745785,False,0.10934047517166902,False,0.4872690541592805,AdaBoost
0,False,False,0.15609437306745785,False,0.10204484282110196,False,0.4887938997916029,AdaBoost
0,False,False,0.15609437306745785,False,0.09022782835810868,False,0.4882469935139458,AdaBoost
0,False,False,0.15609437306745785,False,0.09868985101334267,False,0.4881858961193885,AdaBoost
0,False,False,0.15609437306745785,False,0.09181944072187974,False,0.4893208886324889,AdaBoost
0,False,False,0.15609437306745785,False,0.1089444152816246,False,0.4882205114709141,AdaBoost
0,False,False,0.15609437306745785,False,0.10241029995104986,False,0.4886564419776754,AdaBoost
1,True,True,0.5034911375493415,True,0.917391304347826,True,0.9993401016591223,AdaBoost
0,True,False,0.12911562043452532,False,0.07986839035985227,False,0.4856768552194389,AdaBoost
0,False,False,0.15609437306745785,False,0.09959406432769717,False,0.4888008188073229,AdaBoost
0,False,False,0.15609437306745785,False,0.08941518116742764,False,0.4885796259156875,AdaBoost
