lcom,ce,loc,moa,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
1,4,49,0,1,True,False,0.3573029691981209,True,0.8,True,0.7632116878723657,Voting
3,0,3,0,1,False,False,0.02021441685165629,False,0.047619047619047616,False,0.05108752763982125,Voting
78,8,49,0,1,False,False,0.10222521366697968,False,0.1829004329004329,False,0.4884429574227173,Voting
1,4,17,0,1,False,False,0.022932627206399832,False,0.0,False,0.11406082544543758,Voting
253,8,23,0,1,False,False,0.13131953220434464,False,0.0,False,0.006416088010765961,Voting
26,0,134,0,1,False,False,0.026317294419692768,False,0.0,False,0.027987616179904855,Voting
0,5,234,1,3,True,False,0.03694387479008576,False,0.0,False,0.0310369884914244,Voting
274,1,459,0,3,False,False,0.3723751876707285,False,0.1,False,0.06277949574340466,Voting
3,7,55,0,2,False,False,0.028104834512361218,False,0.0,False,0.02047753192932633,Voting
78,8,49,0,1,False,False,0.10222521366697968,False,0.1829004329004329,False,0.4884429574227173,Voting
1,1,16,0,1,False,False,0.020990485921270556,False,0.0,False,0.047659058779606,Voting
8,15,364,0,8,False,False,0.4388059463453397,False,0.2,True,0.7675634311911496,Voting
221,5,333,3,7,False,True,0.6037531995123694,True,0.7,False,0.4750832888466735,AdaBoost
1,2,17,0,1,False,False,0.0216100063852793,False,0.0,False,0.04464836613433023,Voting
126,23,771,5,9,True,False,0.447530921185233,False,0.4,False,0.3301256154498249,Voting
3,9,261,1,4,False,False,0.38246604404052303,False,0.4,False,0.3774491705529468,Voting
1,4,69,0,7,False,False,0.0296305250478702,False,0.03333333333333333,False,0.2813725700486576,Voting
6,22,413,1,6,True,False,0.2649637430483482,False,0.03333333333333333,False,0.15724310059111232,Voting
0,2,1,0,1,False,False,0.021090450379312918,False,0.0,False,0.008092668818447309,Voting
1,1,32,0,2,False,False,0.022481054497862283,False,0.0,False,0.04486571869608549,Voting
3,7,55,0,2,False,False,0.028104834512361218,False,0.0,False,0.02047753192932633,Voting
21,3,174,0,19,False,False,0.03429736298913006,False,0.1,False,0.11450731826730215,Voting
10,5,5,0,1,False,False,0.023936868592441363,False,0.0,False,0.16145213394278352,Voting
