cbo,lcom3,mfa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
35,0.965786901,0.0,True,True,0.9999998454760398,True,1.0,True,0.9614470293013848,RandomForest
6,2.0,0.985714286,True,True,0.9863067757107647,True,1.0,True,0.9509990893452458,RandomForest
2,2.0,0.959183673,True,True,0.93571917112522,True,1.0,True,0.9650412624332332,RandomForest
2,2.0,0.0,True,True,0.5577272729753798,True,0.9468769919836164,True,0.5143365222157137,RandomForest
0,2.0,0.0,False,False,0.1935954501303129,False,0.06689244554684201,False,0.4874945384604205,RandomForest
0,2.0,0.0,False,False,0.1935954501303129,False,0.06689244554684201,False,0.4874945384604205,RandomForest
26,0.825396825,0.0,True,True,0.9999923771334452,True,1.0,True,0.9526468285404862,RandomForest
0,2.0,0.0,False,False,0.1935954501303129,False,0.06689244554684201,False,0.4874945384604205,RandomForest
2,2.0,0.959183673,True,True,0.93571917112522,True,1.0,True,0.9650412624332332,RandomForest
4,0.1875,0.0,True,True,0.8198799796095777,True,0.9,True,0.9496250424879896,RandomForest
2,0.8,0.0,True,True,0.6559138811521104,True,0.9,True,0.807035571807688,RandomForest
2,2.0,0.0,True,True,0.5577272729753798,True,0.9468769919836164,True,0.5143365222157137,RandomForest
3,2.0,0.953488372,True,True,0.9521315454334844,True,1.0,True,0.9618813578230524,RandomForest
2,2.0,0.979166667,True,True,0.939664552555836,True,1.0,True,0.9501959474859368,RandomForest
0,2.0,0.0,False,False,0.1935954501303129,False,0.06689244554684201,False,0.4874945384604205,RandomForest
0,2.0,0.0,False,False,0.1935954501303129,False,0.06689244554684201,False,0.4874945384604205,RandomForest
4,0.945054945,0.858695652,True,True,0.9664884088324848,True,1.0,True,0.9536945259493984,RandomForest
0,2.0,1.0,False,True,0.5646227823430815,False,0.0,False,0.17205344390323038,RandomForest
5,0.75,0.9215686270000001,True,True,0.9827198989157754,True,1.0,True,0.9401011273054048,RandomForest
