cbo,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
9,False,False,0.18611078458666794,False,0.2392857142857143,False,0.4881277375529938,Voting
9,False,False,0.18611078458666794,False,0.21095238095238086,False,0.4888502828464576,Voting
5,False,False,0.06627350644764947,False,0.0,False,1.4919078354119252e-07,Voting
12,False,False,0.2459871719352968,False,0.028571428571428567,False,0.1896267144376687,Voting
1,False,False,0.04170255035480022,False,0.0,False,2.7589937714044227e-09,Voting
6,False,False,0.07532539988926068,False,0.0,False,1.4937575225589352e-07,Voting
1,False,False,0.04170255035480022,False,0.0,False,2.8244812845904976e-09,Voting
3,False,False,0.052176895594898916,False,0.0,False,2.2147918105580517e-08,Voting
9,False,False,0.18611078458666794,False,0.1792857142857143,False,0.4918305517724778,Voting
9,True,False,0.08538508279282529,False,0.0,False,2.2204460492503185e-16,Voting
2,False,False,0.04656319875709189,False,0.0,False,2.0915006555848707e-09,Voting
2,False,False,0.04656319875709189,False,0.0,False,9.948282196037586e-09,Voting
9,False,False,0.18611078458666794,False,0.1375,False,0.4872407196774083,Voting
12,False,False,0.2459871719352968,False,0.2428571428571429,False,0.1940952926851892,Voting
4,False,False,0.05867457794742492,False,0.0,False,3.790169974879998e-08,Voting
4,False,False,0.05867457794742492,False,0.0,False,6.866500104923914e-08,Voting
11,False,False,0.18621742984863834,False,0.0,False,0.1272484218008598,Voting
15,True,True,0.6685068232020771,False,0.5,True,0.7060508556218338,Voting
25,True,True,0.7574587138786338,True,1.0,True,0.7861718644764167,Voting
1,False,False,0.04170255035480022,False,0.0,False,1.6135824260391914e-09,Voting
7,False,False,0.08641250967790322,False,0.0,False,0.0006307594527641617,Voting
9,False,False,0.18611078458666794,False,0.11952380952380955,False,0.4886644785424689,Voting
14,True,True,0.6064075163316826,True,0.6,True,0.713064250545665,Voting
3,False,False,0.05217689559489889,False,0.0,False,3.630957360365944e-08,Voting
2,False,False,0.04656319875709189,False,0.0,False,1.3242493825978236e-08,Voting
3,False,False,0.05217689559489889,False,0.0,False,5.927314142273308e-08,Voting
1,False,False,0.04170255035480023,False,0.0,False,3.560803194947634e-09,Voting
