rfc,moa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
16,0,False,False,0.008230879338501416,False,0.0,False,0.05083357059313003,AdaBoost
8,0,False,False,0.008093113156775808,False,0.0,False,0.050603972474273916,AdaBoost
55,0,True,False,0.009202779264647644,False,0.0,False,0.05525024900767895,AdaBoost
36,0,False,False,0.00866237017710013,False,0.0,False,0.05188064542302487,AdaBoost
29,0,False,False,0.008496871060764485,False,0.0,False,0.05083357059313003,AdaBoost
6,0,False,False,0.00806180766748685,False,0.0,False,0.050603972474273916,AdaBoost
13,1,False,False,0.009400728744768529,False,0.0,False,0.06388914150605249,AdaBoost
125,6,False,False,0.4471274126135845,False,0.3,True,0.5585900594125962,AdaBoost
11,0,False,False,0.008142444294396159,False,0.0,False,0.05083357059313003,AdaBoost
269,2,False,False,0.3415160183019612,False,0.3,False,0.19475284023928424,AdaBoost
7,0,False,False,0.008077300756704238,False,0.0,False,0.050603972474273916,AdaBoost
15,0,False,False,0.00821257606656453,False,0.0,False,0.05083357059313003,AdaBoost
14,1,False,False,0.009421296714058669,False,0.0,False,0.06388914150605249,AdaBoost
26,0,False,False,0.008430818103305926,False,0.0,False,0.05083357059313003,AdaBoost
15,0,False,False,0.00821257606656453,False,0.0,False,0.05083357059313003,AdaBoost
8,0,False,False,0.008093113156775808,False,0.0,False,0.050603972474273916,AdaBoost
9,0,False,False,0.008109242556565413,False,0.0,False,0.050603972474273916,AdaBoost
56,3,False,False,0.015039120603493578,False,0.0,False,0.09085247967180198,AdaBoost
36,0,False,False,0.00866237017710013,False,0.0,False,0.05188064542302487,AdaBoost
3,0,False,False,0.00801727101202768,False,0.0,False,0.027303917168661096,AdaBoost
114,5,False,False,0.38220699429466537,False,0.4,True,0.501708438038754,AdaBoost
5,0,False,False,0.008046636441086361,False,0.0,False,0.050603972474273916,AdaBoost
12,0,False,False,0.008159513184763472,False,0.0,False,0.05083357059313003,AdaBoost
6,0,False,False,0.00806180766748685,False,0.0,False,0.050603972474273916,AdaBoost
17,0,False,False,0.008249489445168609,False,0.0,False,0.05083357059313003,AdaBoost
2,1,False,False,0.009196804338052448,False,0.0,False,0.04590637585821556,AdaBoost
6,0,False,False,0.00806180766748685,False,0.0,False,0.050603972474273916,AdaBoost
25,0,False,False,0.008409431613555238,False,0.0,False,0.05083357059313003,AdaBoost
116,0,False,False,0.34635013054225205,False,0.2,False,0.3273231723288901,AdaBoost
4,0,False,False,0.06863785048017737,False,0.20822171292759525,False,0.4922861474916387,AdaBoost
4,2,False,False,0.010836208090412512,False,0.013636363636363636,False,0.07490038335529704,AdaBoost
22,0,False,False,0.008347141144271996,False,0.0,False,0.05083357059313003,AdaBoost
27,1,False,False,0.00971880073679694,False,0.0,False,0.06421248162315987,AdaBoost
20,1,False,False,0.00955164549888983,False,0.0,False,0.06388914150605249,AdaBoost
