rfc,lcom3,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
27,0.7,1.0,False,False,0.12341782657294235,False,0.5,False,0.28755558066022696,Voting
11,0.666666667,0.533333333,False,False,0.11520826873900525,False,0.2,False,0.1470973658710369,Voting
19,0.0,0.46666666700000003,False,False,0.11693427227813392,False,0.0,False,0.10939458520367476,Voting
17,2.0,0.5,False,False,0.12065569163370395,False,0.0,False,0.2514170462464197,Voting
49,0.863095238,0.355555556,True,True,0.8941861702422792,True,0.9,True,0.8103274510551637,Voting
40,0.791666667,0.182222222,False,True,0.8936683915780615,False,0.4,False,0.4470688128796591,Voting
72,0.871352785,0.34444444399999996,True,True,0.9672007089121492,True,1.0,True,0.9451356121199112,Voting
32,0.880681818,0.229813665,True,False,0.4048646766169573,True,0.6,True,0.6347930302541922,Voting
93,0.878125,0.218181818,True,True,0.990722144947568,True,1.0,True,0.954025575530653,Voting
44,0.761904762,0.5,True,False,0.4832708613543541,False,0.4,False,0.3992318397553032,Voting
12,0.8,0.545454545,False,False,0.1252503220948084,False,0.1,False,0.0315108042289784,Voting
42,0.875362319,1.0,False,False,0.3420166191397911,False,0.2,False,0.4859985788673134,Voting
2,2.0,1.0,False,False,0.3723756896722859,True,0.9,True,0.6000000000000001,Voting
14,0.6190476189999999,0.45833333299999995,False,False,0.14313250918892378,False,0.1,False,0.12276346637529716,Voting
2,2.0,1.0,True,False,0.009103896524547302,False,0.0,False,2.2204460492503185e-16,Voting
44,0.7111111109999999,0.31578947399999996,True,True,0.8572741020769715,True,0.7,True,0.6792715523187617,Voting
36,0.765151515,0.46153846200000004,False,False,0.4335785839581108,False,0.2,True,0.5225367346215435,Voting
80,0.8340000000000001,0.23076923100000002,True,True,0.9806549106928656,True,1.0,True,0.8980908914025116,Voting
17,0.836363636,0.375,False,False,0.2148732661956572,False,0.3,False,0.4182919249141404,Voting
14,0.6190476189999999,0.45833333299999995,False,False,0.14313250918891382,False,0.0,False,0.10858274514361672,Voting
28,1.25,0.35,True,True,0.6054351596626965,False,0.4,True,0.5513804363526225,Voting
95,0.913647343,0.23758865199999998,True,True,0.9915711225417264,True,1.0,True,0.9712475680474364,Voting
4,2.0,0.75,False,False,0.22038212420686,False,0.25,False,0.42127275358472427,Voting
56,0.8193277309999999,0.27777777800000003,True,True,0.9309376725735196,True,1.0,True,0.9092199547573794,Voting
63,0.827777778,0.23157894699999998,True,True,0.9528429926166924,True,1.0,True,0.90139455759903,Voting
6,0.0,0.583333333,False,False,0.06046322475207019,False,0.06666666666666668,False,0.2457581708923392,Voting
11,2.0,0.515151515,False,False,0.0921928319289824,False,0.0,False,0.1428210800400902,Voting
67,0.8575851390000001,0.23,True,True,0.9615527581184771,True,1.0,True,0.9533790851400684,Voting
18,0.0,0.375,False,False,0.12053663338088362,False,0.1,False,0.24814475544005626,Voting
